"chr","QTL","pos_lo","pos_hi","lodcolumn","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47610066,47611824,"Bradi4g44167","","AT5G01750","","Protein of unknown function (DUF567)","LOC_Os12g02760","DUF567 domain containing protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47613096,47614747,"Bradi4g44178","","AT5G01750","","Protein of unknown function (DUF567)","LOC_Os12g02760","DUF567 domain containing protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47616183,47618122,"Bradi4g44190","","AT5G58240","FHIT","FRAGILE HISTIDINE TRIAD","LOC_Os12g02730","histidine triad family protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47623303,47624437,"Bradi4g44200","","AT2G38640","","Protein of unknown function (DUF567)","LOC_Os11g02750","DUF567 domain containing protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47629257,47630258,"Bradi4g44205","GO:0008270,GO:0005515","AT5G56340","ATCRT1","RING/U-box superfamily protein","LOC_Os12g04650","zinc finger, C3HC4 type domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47630716,47632537,"Bradi4g44207","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47632733,47633713,"Bradi4g44211","GO:0008270,GO:0005515","AT5G01880","","RING/U-box superfamily protein","LOC_Os12g04650","zinc finger, C3HC4 type domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47644253,47644847,"Bradi4g44214","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47645891,47650830,"Bradi4g44217","","AT3G46710","","NB-ARC domain-containing disease resistance protein","LOC_Os11g37870","stripe rust resistance protein Yr10, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47655395,47657098,"Bradi4g44219","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47662722,47664226,"Bradi4g44222","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47667223,47673209,"Bradi4g44227","","AT3G46710","","NB-ARC domain-containing disease resistance protein","LOC_Os11g37870","stripe rust resistance protein Yr10, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47673440,47675516,"Bradi4g44233","GO:0031083","AT2G30330","","GCN5L1 family protein","LOC_Os11g02110","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47677680,47680573,"Bradi4g44240","GO:0006468,GO:0004672","AT2G38620","CDKB1;2","cyclin-dependent kinase B1;2","LOC_Os01g67160","cyclin-dependent kinase B1-1, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47681147,47683302,"Bradi4g44250","","AT2G46150","","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family","LOC_Os11g02730","harpin-induced protein 1 domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47683443,47685952,"Bradi4g44260","","","","","LOC_Os12g02690","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47687162,47687345,"Bradi4g44265","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47687537,47691708,"Bradi4g44270","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT5G24910","CYP714A1","cytochrome P450, family 714, subfamily A, polypeptide 1","LOC_Os12g02640","cytochrome P450 72A1, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47691709,47695721,"Bradi4g44273","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT5G24910","CYP714A1","cytochrome P450, family 714, subfamily A, polypeptide 1","LOC_Os12g02640","cytochrome P450 72A1, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47697260,47698956,"Bradi4g44277","GO:0008270,GO:0005515","AT5G01980","","RING/U-box superfamily protein","LOC_Os12g02620","zinc finger, C3HC4 type domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47699937,47702632,"Bradi4g44290","GO:0008080","AT4G19985","","Acyl-CoA N-acyltransferases (NAT) superfamily protein","LOC_Os05g44020","acetyltransferase, GNAT family, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47702839,47705610,"Bradi4g44300","","AT3G10840","","alpha/beta-Hydrolases superfamily protein","LOC_Os12g02589","hydrolase, alpha/beta fold family protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47708092,47710902,"Bradi4g44310","","AT3G08600","","Protein of unknown function (DUF1191)","LOC_Os12g02550","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47714625,47718294,"Bradi4g44320","","AT3G08570","","Phototropic-responsive NPH3 family protein","LOC_Os12g02540","BTBN23 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47715163,47715810,"Bradi4g44325","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47718509,47719018,"Bradi4g44330","GO:0008270,GO:0005515","AT3G10910","","RING/U-box superfamily protein","LOC_Os12g04650","zinc finger, C3HC4 type domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47720745,47723385,"Bradi4g44336","GO:0005975,GO:0004553","AT5G01930","","Glycosyl hydrolase superfamily protein","LOC_Os12g02520","OsMan09 - Endo-Beta-Mannanase, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47728089,47730688,"Bradi4g44342","GO:0043565,GO:0006355,GO:0003700","AT3G56400","ATWRKY70,WRKY70","WRKY DNA-binding protein 70","LOC_Os11g02540","WRKY50, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47732204,47734220,"Bradi4g44350","GO:0043565,GO:0006355,GO:0003700","AT2G40740","ATWRKY55,WRKY55","WRKY DNA-binding protein 55","LOC_Os05g14370","WRKY82, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47743220,47744939,"Bradi4g44360","GO:0043565,GO:0006355,GO:0003700","AT2G46400","ATWRKY46,WRKY46","WRKY DNA-binding protein 46","LOC_Os05g14370","WRKY82, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47749858,47751352,"Bradi4g44370","GO:0043565,GO:0006355,GO:0003700","AT3G56400","ATWRKY70,WRKY70","WRKY DNA-binding protein 70","LOC_Os12g02450","WRKY64, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47753969,47758421,"Bradi4g44380","","AT3G52850","ATELP,ATELP1,ATVSR1,BP-80,BP80,BP80-1;1,BP80B,GFS1,VSR1,VSR1;1","vacuolar sorting receptor homolog 1","LOC_Os11g02464","vacuolar-sorting receptor precursor, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47758881,47761840,"Bradi4g44385","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47758852,47760519,"Bradi4g44390","GO:0016872","AT5G05270","","Chalcone-flavanone isomerase family protein","LOC_Os11g02440","chalcone--flavonone isomerase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47762722,47763829,"Bradi4g44400","","AT5G59320","LTP3","lipid transfer protein 3","LOC_Os12g02340","LTPL14 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
